Date,Capacity_Ah,MaxTemperature_C,TimeToMaxTemp_h,Duration_h
06-Jan-2014 16:31:49,2.09773888888889,27.49199,2.09723333333333,2.09793333333333
06-Jan-2014 21:32:56,2.09466527777778,27.35149,2.09445555555556,2.09487222222222
11-Jan-2014 12:30:19,2.04456686388889,26.9612,2.04485,2.04483888888889
11-Jan-2014 17:57:21,2.04085,26.44602,2.02223333333333,2.04103333333333
16-Jan-2014 04:50:19,1.98020826666667,26.66458,1.98043333333333,1.98042222222222
16-Jan-2014 10:26:30,1.98291527777778,27.25782,1.98056666666667,1.98309166666667
20-Jan-2014 18:45:32,1.91491111111111,27.25782,1.91515,1.91513888888889
21-Jan-2014 00:25:21,1.90588194444444,26.83631,1.90608055555556,1.90606944444444
25-Jan-2014 04:31:08,1.85480138888889,27.25782,1.85501666666667,1.85500555555556
25-Jan-2014 10:17:08,1.85458194444444,26.99242,1.85278888888889,1.8547
29-Jan-2014 12:56:48,1.76744166666667,27.81983,1.76667777777778,1.76768611111111
29-Jan-2014 18:38:56,1.75708938888889,33.40633,1.75734444444444,1.75733333333333
02-Feb-2014 17:46:35,1.71420694444444,33.96285,1.7139,1.71440555555556
02-Feb-2014 23:34:26,1.71388055555556,32.94257,1.7139,1.714025
06-Feb-2014 22:17:30,1.64914861111111,34.93675,1.55556666666667,1.6493
07-Feb-2014 04:00:08,1.64777083333333,35.33868,1.64798333333333,1.64797222222222
10-Feb-2014 22:24:46,1.59920138888889,33.20536,1.59938333333333,1.59937222222222
11-Feb-2014 04:05:49,1.59907185,33.77734,1.59926666666667,1.59925555555556
14-Feb-2014 20:09:01,1.52415277777778,33.43725,1.52437222222222,1.52436111111111
15-Feb-2014 01:54:22,1.52206805555556,34.11744,1.52219444444444,1.52218333333333
18-Feb-2014 10:08:27,1.44419861111111,34.33386,1.44448611111111,1.44458611111111
18-Feb-2014 16:19:41,1.46965555555556,34.75125,1.46945555555556,1.47007777777778
22-Feb-2014 07:38:13,1.41703888888889,33.42179,1.41667777777778,1.41717777777778
22-Feb-2014 13:13:57,1.41559027777778,34.24111,1.41571944444444,1.41570833333333
25-Feb-2014 20:32:04,1.38326668333333,33.83918,1.37778888888889,1.38336666666667
26-Feb-2014 02:02:43,1.38525170555556,34.3184,1.38548888888889,1.38547777777778
06-Mar-2014 21:48:46,1.46778472222222,34.53482,1.46667777777778,1.46793611111111
