time,voltage
1.11111111111111e-05,4.1
0.0027888888888888,4.078
0.0055666666666666,4.066
0.0083444444444444,4.057
0.0111222222222222,4.049
0.0139,4.043
0.0166777777777778,4.037
0.0194555555555556,4.032
0.0222333333333333,4.027
0.0250111111111111,4.022
0.0277888888888889,4.018
0.0305666666666667,4.015
0.0333444444444444,4.011
0.0361222222222222,4.008
0.0389,4.005
0.0416777777777778,4.002
0.0444555555555556,4.0
0.0472333333333333,3.997
0.0500111111111111,3.994
0.0527888888888889,3.992
0.0555666666666667,3.99
0.0583444444444444,3.987
0.0611222222222222,3.985
0.0639,3.983
0.0666777777777778,3.981
0.0694555555555555,3.979
0.0722333333333333,3.977
0.0750111111111111,3.975
0.0777888888888889,3.973
0.0805666666666667,3.971
0.0833444444444444,3.97
0.0861222222222222,3.968
0.0889,3.966
0.0916777777777778,3.964
0.0944555555555556,3.963
0.0972333333333333,3.961
0.100011111111111,3.959
0.102788888888889,3.957
0.105566666666667,3.956
0.108344444444444,3.954
0.111122222222222,3.953
0.1139,3.951
0.116677777777778,3.949
0.119455555555556,3.948
0.122233333333333,3.946
0.125011111111111,3.944
0.127788888888889,3.943
0.130566666666667,3.941
0.133344444444444,3.94
0.136122222222222,3.938
0.1389,3.937
0.141677777777778,3.935
0.144455555555556,3.934
0.147233333333333,3.932
0.150011111111111,3.931
0.152788888888889,3.929
0.155566666666667,3.928
0.158344444444444,3.926
0.161122222222222,3.925
0.1639,3.923
0.166677777777778,3.922
0.169455555555556,3.92
0.172233333333333,3.919
0.175011111111111,3.917
0.177788888888889,3.916
0.180566666666667,3.914
0.183344444444444,3.913
0.186122222222222,3.912
0.1889,3.91
0.191677777777778,3.909
0.194455555555556,3.908
0.197233333333333,3.906
0.200011111111111,3.905
0.202788888888889,3.903
0.205566666666667,3.902
0.208344444444444,3.901
0.211122222222222,3.899
0.2139,3.898
0.216677777777778,3.897
0.219455555555556,3.895
0.222233333333333,3.894
0.225011111111111,3.892
0.227788888888889,3.891
0.230566666666667,3.89
0.233344444444444,3.888
0.236122222222222,3.887
0.2389,3.886
0.241677777777778,3.884
0.244455555555556,3.883
0.247233333333333,3.882
0.250011111111111,3.88
0.252788888888889,3.879
0.255566666666667,3.878
0.258344444444444,3.877
0.261122222222222,3.875
0.2639,3.874
0.266677777777778,3.873
0.269455555555556,3.871
0.272233333333333,3.87
0.275011111111111,3.869
0.277788888888889,3.867
0.280566666666667,3.866
0.283344444444444,3.865
0.286122222222222,3.864
0.2889,3.862
0.291677777777778,3.861
0.294455555555556,3.86
0.297233333333333,3.859
0.300011111111111,3.857
0.302788888888889,3.856
0.305566666666667,3.855
0.308344444444444,3.853
0.311122222222222,3.852
0.3139,3.851
0.316677777777778,3.85
0.319455555555556,3.848
0.322233333333333,3.847
0.325011111111111,3.846
0.327788888888889,3.845
0.330566666666667,3.843
0.333344444444444,3.842
0.336122222222222,3.841
0.3389,3.84
0.341677777777778,3.839
0.344455555555556,3.837
0.347233333333333,3.836
0.350011111111111,3.835
0.352788888888889,3.834
0.355566666666667,3.833
0.358344444444444,3.831
0.361122222222222,3.83
0.3639,3.829
0.366677777777778,3.828
0.369455555555556,3.827
0.372233333333333,3.826
0.375011111111111,3.824
0.377788888888889,3.823
0.380566666666667,3.822
0.383344444444444,3.821
0.386122222222222,3.82
0.3889,3.818
0.391677777777778,3.817
0.394455555555556,3.816
0.397233333333333,3.815
0.400011111111111,3.814
0.402788888888889,3.813
0.405566666666667,3.811
0.408344444444444,3.81
0.411122222222222,3.809
0.4139,3.808
0.416677777777778,3.807
0.419455555555556,3.806
0.422233333333333,3.805
0.425011111111111,3.804
0.427788888888889,3.802
0.430566666666667,3.801
0.433344444444444,3.8
0.436122222222222,3.799
0.4389,3.798
0.441677777777778,3.797
0.444455555555556,3.796
0.447233333333333,3.795
0.450011111111111,3.794
0.452788888888889,3.793
0.455566666666667,3.791
0.458344444444444,3.79
