time,current
0.04,1.006
10.04,1.0
20.04,1.0
30.04,1.0
40.04,1.001
50.04,1.0
60.04,1.0
70.04,1.0
80.04,0.999
90.04,1.0
100.04,1.0
110.04,1.0
120.04,1.0
130.04,1.0
140.04,1.0
150.04,1.0
160.04,1.0
170.04,1.0
180.04,1.0
190.04,1.0
200.04,1.0
210.04,1.0
220.04,1.0
230.04,1.0
240.04,1.0
250.04,1.0
260.04,1.0
270.04,1.0
280.04,1.0
290.04,1.0
300.04,1.001
310.04,1.0
320.04,1.0
330.04,1.0
340.04,1.0
350.04,1.0
360.04,1.0
370.04,1.0
380.04,1.0
390.04,1.0
400.04,1.0
410.04,1.0
420.04,1.0
430.04,1.0
440.04,1.0
450.04,0.999
460.04,1.0
470.04,1.0
480.04,1.0
490.04,1.0
500.04,1.0
510.04,1.0
520.04,1.0
530.04,1.0
540.04,1.0
550.04,1.0
560.04,1.0
570.04,1.0
580.04,0.999
590.04,0.999
600.04,0.999
610.04,1.001
620.04,0.999
630.04,1.0
640.04,1.0
650.04,0.999
660.04,0.999
670.04,1.0
680.04,1.0
690.04,1.0
700.04,1.0
710.04,1.0
720.04,1.0
730.04,1.0
740.04,1.0
750.04,1.0
760.04,1.0
770.04,1.001
780.04,1.0
790.04,1.0
800.04,1.0
810.04,1.0
820.04,1.0
830.04,1.001
840.04,0.999
850.04,1.0
860.04,1.0
870.04,1.0
880.04,1.0
890.04,1.0
900.04,1.0
910.04,1.0
920.04,1.0
930.04,1.0
940.04,1.0
950.04,1.0
960.04,1.0
970.04,1.0
980.04,1.0
990.04,0.999
1000.0,1.0
1010.0,1.001
1020.0,1.001
1030.0,1.0
1040.0,1.0
1050.0,1.0
1060.0,1.0
1070.0,1.0
1080.0,1.0
1090.0,1.0
1100.0,1.0
1110.0,1.0
1120.0,1.001
1130.0,0.999
1140.0,1.0
1150.0,1.0
1160.0,1.0
1170.0,0.999
1180.0,1.0
1190.0,1.0
1200.0,1.0
1210.0,1.001
1220.0,1.0
1230.0,1.0
1240.0,1.001
1250.0,1.0
1260.0,1.0
1270.0,1.0
1280.0,1.0
